category,filename,tv_symbol,name,listing
sme,TAURIAN,NSE:TAURIAN,Taurian MPS Limited,16-Sep-25
sme,VIGOR,NSE:VIGOR,Vigor Plast India Limited,12-Sep-25
sme,OPTIVALUE,NSE:OPTIVALUE,Optivalue Tek Consulting Limited,10-Sep-25
sme,SNEHAA,NSE:SNEHAA,Snehaa Organics Limited,05-Sep-25
sme,SATTVAENGG,NSE:SATTVAENGG,Sattva Engineering Construction Limited,03-Sep-25
sme,CURRENT,NSE:CURRENT,Current Infraprojects Limited,03-Sep-25
sme,CLASSICEIL,NSE:CLASSICEIL,Classic Electrodes (India) Limited,01-Sep-25
sme,SHIVASHRIT,NSE:SHIVASHRIT,Shivashrit Foods Limited,01-Sep-25
sme,ANONDITA,NSE:ANONDITA,Anondita Medicare Limited,01-Sep-25
sme,ARCIIL,NSE:ARCIIL,ARC Insulation & Insulators Limited,29-Aug-25
sme,STUDIOLSD,NSE:STUDIOLSD,Studio LSD Limited,25-Aug-25
sme,MRIL,NSE:MRIL,Mahendra Realtors & Infrastructure Limited,20-Aug-25
sme,MEDISTEP,NSE:MEDISTEP,Medistep Healthcare Limited,18-Aug-25
sme,AMCL,NSE:AMCL,ANB Metal Cast Limited,18-Aug-25
sme,SAWALIYA,NSE:SAWALIYA,Sawaliya Food Products Limited,14-Aug-25
sme,CONNPLEX,NSE:CONNPLEX,Connplex Cinemas Limited,14-Aug-25
sme,PARTH,NSE:PARTH,Parth Electricals & Engineering Limited,11-Aug-25
sme,JYOTIGLOBL,NSE:JYOTIGLOBL,Jyoti Global Plast Limited,11-Aug-25
sme,BHADORA,NSE:BHADORA,Bhadora Industries Limited,11-Aug-25
sme,AARADHYA,NSE:AARADHYA,Aaradhya Disposal Industries Limited,11-Aug-25
sme,FLYSBS,NSE:FLYSBS,FlySBS Aviation Limited,08-Aug-25
sme,CUDML,NSE:CUDML,Cash Ur Drive Marketing Limited,07-Aug-25
sme,RNPL,NSE:RNPL,Renol Polychem Limited,07-Aug-25
sme,KAYTEX,NSE:KAYTEX,Kaytex Fabrics Limited,05-Aug-25
sme,SELLOWRAP,NSE:SELLOWRAP,Sellowrap Industries Limited,01-Aug-25
sme,TSC,NSE:TSC,TSC India Limited,30-Jul-25
sme,SAVY,NSE:SAVY,Savy Infra and Logistics Limited,28-Jul-25
sme,SPUNWEB,NSE:SPUNWEB,Spunweb Nonwoven Limited,21-Jul-25
sme,SMARTEN,NSE:SMARTEN,Smarten Power Systems Limited,14-Jul-25
sme,WHITEFORCE,NSE:WHITEFORCE,Happy Square Outsourcing Services Limited,10-Jul-25
sme,ETL,NSE:ETL,Emkay Tools Limited,08-Jul-25
sme,CEDAAR,NSE:CEDAAR,Cedaar Textile Limited,07-Jul-25
sme,SILKY,NSE:SILKY,Silky Overseas Limited,07-Jul-25
sme,PUSHPA,NSE:PUSHPA,Pushpa Jewellers Limited,07-Jul-25
sme,MMEL,NSE:MMEL,Moving Media Entertainment Limited,03-Jul-25
sme,PROFX,NSE:PROFX,Pro FX Tech Limited,03-Jul-25
sme,RTL,NSE:RTL,Rama Telecom Limited,02-Jul-25
sme,SUNTECH,NSE:SUNTECH,Suntech Infra Solutions Limited,02-Jul-25
sme,SHKSIL,NSE:SHKSIL,Shri Hare-Krishna Sponge Iron Limited,01-Jul-25
sme,AAKAAR,NSE:AAKAAR,Aakaar Medical Technologies Limited,27-Jun-25
sme,MAYASHEEL,NSE:MAYASHEEL,Mayasheel Ventures Limited,27-Jun-25
sme,SAFEENTP,NSE:SAFEENTP,Safe Enterprises Retail Fixtures Limited,27-Jun-25
sme,INFLUX,NSE:INFLUX,Influx Healthtech Limited,25-Jun-25
